RXMLlang,639-3,639-2/T,639-2/B,RXMLxl,useflag,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00,23.00,24.00,25.00,26.00,27.00,28.00,29.00,30.00,31.00,32.00,33.00,34.00,35.00,36.00,37.00,38.00,39.00,40.00,41.00,42.00,43.00,44.00,45.00,46.00,47.00,48.00,49.00,50.00,51.00,52.00,53.00,54.00,55.00,56.00,57.00,58.00,59.00,60.00,61.00,62.00,63.00,64.00,65.00,66.00
Sukuma  1960,suk,—,—,Sukuma1960Bible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matayo (Matthew),Marko (Mark),Luka,Yohana,Matendo ga Mitume (Acts),Warumi (Romans),1 Wakorinto,2 Wakorinto,Wagalatia,Waefeso,Wafilipi,Wakolosai,1 Wathesalonike,2 Wathesalonike,1 Timotheo,2 Timotheo,Tito,Filemoni,Waebrania (Hebrews),Yakobo,1 Petro,2 Petro,1 Yohana,2 Yohana,3 Yohana,Yuda,Ufunuo (Revelation)
Sukuma,suk,—,—,SukumaBible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matayo (Matthew),Marko (Mark),Luka,Yohana,Matendo ga Mitume (Acts),Warumi (Romans),1 Wakorinto,2 Wakorinto,Wagalatia,Waefeso,Wafilipi,Wakolosai,1 Wathesalonike,2 Wathesalonike,1 Timotheo,2 Timotheo,Tito,Filemoni,Waebrania (Hebrews),Yakobo,1 Petro,2 Petro,1 Yohana,2 Yohana,3 Yohana,Yuda,Ufunuo (Revelation)
Sundanese,sun,sun,sun,SundaneseBible.xml,1,Kajadian (Genesis),Kaluaran (Exodus),Imamat (Leviticus),Bilangan (Numbers),Ulangan (Deuteronomy),Yosua,Hakim-hakim (Judges),Rut,1 Samuel,2 Samuel,1 Raja-raja,2 Raja-raja,1 Tawarikh,2 Tawarikh,Ezra,Nehemia,Ester,Ayub,Jabur (Psalms),Paribasa (Proverbs),Pengkhotbah (Ecclesiastes),Kidung Agung (Song of Songs),Yesaya,Yeremia,Ratapan (Lamentations),Yehezkiel,Daniel,Hosea,Yoel,Amos,Obaja,Yunus,Mikha,Nahum,Habakuk,Zefanya,Hagai,Zakharia,Maleakhi,Mateus (Matthew),Markus (Mark),Lukas (Luke),Yohanes (John),Rasul-rasul (Acts),Roma,1 Korinta,2 Korinta,Galatia,Éfésus,Filipi,Kolose,1 Tesalonika,2 Tesalonika,1 Timoteus,2 Timoteus,Titus,Filemon,Ibrani (Hebrews),Yakobus,1 Petrus,2 Petrus,1 Yohanes,2 Yohanes,3 Yohanes,Yudas,Wahyu (Revelation)
Swahili  1850,swa,swa,swa,Swahili1850Bible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mathayo (Matthew),Marko (Mark),Luka,Yohana,Matendo ya Mitume (Acts),Warumi (Romans),1 Wakorintho,2 Wakorintho,Wagalatia,Waefeso,Wafilipi,Wakolosai,1 Wathesalonike,2 Wathesalonike,1 Timotheo,2 Timotheo,Tito,Filemoni,Waebrania (Hebrews),Yakobo,1 Petro,2 Petro,1 Yohana,2 Yohana,3 Yohana,Yuda,Ufunuo (Revelation)
Swahili  2001,swa,swa,swa,Swahili2001Bible.xml,1,Mwanzo (Genesis),Kutoka (Exodus),Mambo ya Walawi (Leviticus),Hesabu (Numbers),Kumbukumbu la Torati (Deuteronomy),Yoshua,Waamuzi (Judges),Ruthu,1 Samweli,2 Samweli,1 Wafalme,2 Wafalme,1 Mambo ya Nyakati,2 Mambo ya Nyakati,Ezra,Nehemia,Esta,Ayubu,Zaburi (Psalms),Methali (Proverbs),Mhubiri (Ecclesiastes),Wimbo Ulio Bora (Song of Songs),Isaya,Yeremia,Maombolezo (Lamentations),Ezekieli,Danieli,Hosea,Yoeli,Amosi,Obadia,Yona,Mika,Nahumu,Habakuki,Sefania,Hagai,Zakaria,Malaki,Mathayo (Matthew),Marko (Mark),Luka,Yohana,Matendo ya Mitume (Acts),Warumi (Romans),1 Wakorintho,2 Wakorintho,Wagalatia,Waefeso,Wafilipi,Wakolosai,1 Wathesalonike,2 Wathesalonike,1 Timotheo,2 Timotheo,Tito,Filemoni,Waebrania (Hebrews),Yakobo,1 Petro,2 Petro,1 Yohana,2 Yohana,3 Yohana,Yuda,Ufunuo (Revelation)
Swahili  2017,swa,swa,swa,Swahili2017Bible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mathayo (Matthew),Marko (Mark),Luka,Yohana,Matendo ya Mitume (Acts),Warumi (Romans),1 Wakorintho,2 Wakorintho,Wagalatia,Waefeso,Wafilipi,Wakolosai,1 Wathesalonike,2 Wathesalonike,1 Timotheo,2 Timotheo,Tito,Filemoni,Waebrania (Hebrews),Yakobo,1 Petro,2 Petro,1 Yohana,2 Yohana,3 Yohana,Yuda,Ufunuo (Revelation)
Swahili  2024,swa,swa,swa,Swahili2024Bible.xml,0.00,Mwanzo (Genesis),Kutoka (Exodus),Mambo ya Walawi (Leviticus),Hesabu (Numbers),Kumbukumbu la Torati (Deuteronomy),Yoshua,Waamuzi (Judges),Ruthu,1 Samweli,2 Samweli,1 Wafalme,2 Wafalme,1 Mambo ya Nyakati,2 Mambo ya Nyakati,Ezra,Nehemia,Esta,Ayubu,Zaburi (Psalms),Methali (Proverbs),Mhubiri (Ecclesiastes),Wimbo Ulio Bora (Song of Songs),Isaya,Yeremia,Maombolezo (Lamentations),Ezekieli,Danieli,Hosea,Yoeli,Amosi,Obadia,Yona,Mika,Nahumu,Habakuki,Sefania,Hagai,Zakaria,Malaki,Mathayo (Matthew),Marko (Mark),Luka,Yohana,Matendo ya Mitume (Acts),Warumi (Romans),1 Wakorintho,2 Wakorintho,Wagalatia,Waefeso,Wafilipi,Wakolosai,1 Wathesalonike,2 Wathesalonike,1 Timotheo,2 Timotheo,Tito,Filemoni,Waebrania (Hebrews),Yakobo,1 Petro,2 Petro,1 Yohana,2 Yohana,3 Yohana,Yuda,Ufunuo (Revelation)
Swahili BHNTLK,swa,swa,swa,SwahiliBHNTLKBible.xml,0.00,Mwanzo (Genesis),Kutoka (Exodus),Mambo ya Walawi (Leviticus),Hesabu (Numbers),Kumbukumbu la Torati (Deuteronomy),Yoshua,Waamuzi (Judges),Ruthu,1 Samweli,2 Samweli,1 Wafalme,2 Wafalme,1 Mambo ya Nyakati,2 Mambo ya Nyakati,Ezra,Nehemia,Esta,Ayubu,Zaburi (Psalms),Methali (Proverbs),Mhubiri (Ecclesiastes),Wimbo Ulio Bora (Song of Songs),Isaya,Yeremia,Maombolezo (Lamentations),Ezekieli,Danieli,Hosea,Yoeli,Amosi,Obadia,Yona,Mika,Nahumu,Habakuki,Sefania,Hagai,Zakaria,Malaki,Mathayo (Matthew),Marko (Mark),Luka,Yohana,Matendo ya Mitume (Acts),Warumi (Romans),1 Wakorintho,2 Wakorintho,Wagalatia,Waefeso,Wafilipi,Wakolosai,1 Wathesalonike,2 Wathesalonike,1 Timotheo,2 Timotheo,Tito,Filemoni,Waebrania (Hebrews),Yakobo,1 Petro,2 Petro,1 Yohana,2 Yohana,3 Yohana,Yuda,Ufunuo (Revelation)
Swahili,swa,swa,swa,SwahiliBible.xml,0.00,Mwanzo (Genesis),Kutoka (Exodus),Mambo ya Walawi (Leviticus),Hesabu (Numbers),Kumbukumbu la Torati (Deuteronomy),Yoshua,Waamuzi (Judges),Ruthu,1 Samweli,2 Samweli,1 Wafalme,2 Wafalme,1 Mambo ya Nyakati,2 Mambo ya Nyakati,Ezra,Nehemia,Esta,Ayubu,Zaburi (Psalms),Methali (Proverbs),Mhubiri (Ecclesiastes),Wimbo Ulio Bora (Song of Songs),Isaya,Yeremia,Maombolezo (Lamentations),Ezekieli,Danieli,Hosea,Yoeli,Amosi,Obadia,Yona,Mika,Nahumu,Habakuki,Sefania,Hagai,Zakaria,Malaki,Mathayo (Matthew),Marko (Mark),Luka,Yohana,Matendo ya Mitume (Acts),Warumi (Romans),1 Wakorintho,2 Wakorintho,Wagalatia,Waefeso,Wafilipi,Wakolosai,1 Wathesalonike,2 Wathesalonike,1 Timotheo,2 Timotheo,Tito,Filemoni,Waebrania (Hebrews),Yakobo,1 Petro,2 Petro,1 Yohana,2 Yohana,3 Yohana,Yuda,Ufunuo (Revelation)
Swahili Contemporary,swa,swa,swa,SwahiliContemporaryBible.xml,0.00,Mwanzo,Kutoka,Walawi,Hesabu,Kumbukumbu la Torati,Yoshua,Waamuzi,Ruthu,1 Samweli,2 Samweli,1 Wafalme,2 Wafalme,1 Mambo ya Nyakati,2 Mambo ya Nyakati,Ezra,Nehemia,Esta,Ayubu,Zaburi,Methali,Mhubiri,Wimbo Bora,Isaya,Yeremia,Maombolezo,Ezekieli,Danieli,Hosea,Yoeli,Amosi,Obadia,Yona,Mika,Nahumu,Habakuku,Sefania,Hagai,Zakaria,Malaki,Mathayo,Marko,Luka,Yohana,Matendo ya Mitume,Warumi,1 Wakorintho,2 Wakorintho,Wagalatia,Waefeso,Wafilipi,Wakolosai,1 Wathesalonike,2 Wathesalonike,1 Timotheo,2 Timotheo,Tito,Filemoni,Waebrania,Yakobo,1 Petro,2 Petro,1 Yohana,2 Yohana,3 Yohana,Yuda,Ufunuo
Swahili NMM,swa,swa,swa,SwahiliNMMBible.xml,0.00,Mwanzo (Genesis),Kutoka (Exodus),Mambo ya Walawi (Leviticus),Hesabu (Numbers),Kumbukumbu la Torati (Deuteronomy),Yoshua,Waamuzi (Judges),Ruthu,1 Samweli,2 Samweli,1 Wafalme,2 Wafalme,1 Mambo ya Nyakati,2 Mambo ya Nyakati,Ezra,Nehemia,Esta,Ayubu,Zaburi (Psalms),Methali (Proverbs),Mhubiri (Ecclesiastes),Wimbo Ulio Bora (Song of Songs),Isaya,Yeremia,Maombolezo (Lamentations),Ezekieli,Danieli,Hosea,Yoeli,Amosi,Obadia,Yona,Mika,Nahumu,Habakuki,Sefania,Hagai,Zakaria,Malaki,Mathayo (Matthew),Marko (Mark),Luka,Yohana,Matendo ya Mitume (Acts),Warumi (Romans),1 Wakorintho,2 Wakorintho,Wagalatia,Waefeso,Wafilipi,Wakolosai,1 Wathesalonike,2 Wathesalonike,1 Timotheo,2 Timotheo,Tito,Filemoni,Waebrania (Hebrews),Yakobo,1 Petro,2 Petro,1 Yohana,2 Yohana,3 Yohana,Yuda,Ufunuo (Revelation)
Swahili RSUVDC,swa,swa,swa,SwahiliRSUVDCBible.xml,0.00,Mwanzo (Genesis),Kutoka (Exodus),Mambo ya Walawi (Leviticus),Hesabu (Numbers),Kumbukumbu la Torati (Deuteronomy),Yoshua,Waamuzi (Judges),Ruthu,1 Samweli,2 Samweli,1 Wafalme,2 Wafalme,1 Mambo ya Nyakati,2 Mambo ya Nyakati,Ezra,Nehemia,Esta,Ayubu,Zaburi (Psalms),Methali (Proverbs),Mhubiri (Ecclesiastes),Wimbo Ulio Bora (Song of Songs),Isaya,Yeremia,Maombolezo (Lamentations),Ezekieli,Danieli,Hosea,Yoeli,Amosi,Obadia,Yona,Mika,Nahumu,Habakuki,Sefania,Hagai,Zakaria,Malaki,Mathayo (Matthew),Marko (Mark),Luka,Yohana,Matendo ya Mitume (Acts),Warumi (Romans),1 Wakorintho,2 Wakorintho,Wagalatia,Waefeso,Wafilipi,Wakolosai,1 Wathesalonike,2 Wathesalonike,1 Timotheo,2 Timotheo,Tito,Filemoni,Waebrania (Hebrews),Yakobo,1 Petro,2 Petro,1 Yohana,2 Yohana,3 Yohana,Yuda,Ufunuo (Revelation)
Swahili SCLDC 10,swa,swa,swa,SwahiliSCLDC10Bible.xml,0.00,Mwanzo (Genesis),Kutoka (Exodus),Mambo ya Walawi (Leviticus),Hesabu (Numbers),Kumbukumbu la Torati (Deuteronomy),Yoshua,Waamuzi (Judges),Ruthu,1 Samweli,2 Samweli,1 Wafalme,2 Wafalme,1 Mambo ya Nyakati,2 Mambo ya Nyakati,Ezra,Nehemia,Esta,Ayubu,Zaburi (Psalms),Methali (Proverbs),Mhubiri (Ecclesiastes),Wimbo Ulio Bora (Song of Songs),Isaya,Yeremia,Maombolezo (Lamentations),Ezekieli,Danieli,Hosea,Yoeli,Amosi,Obadia,Yona,Mika,Nahumu,Habakuki,Sefania,Hagai,Zakaria,Malaki,Mathayo (Matthew),Marko (Mark),Luka,Yohana,Matendo ya Mitume (Acts),Warumi (Romans),1 Wakorintho,2 Wakorintho,Wagalatia,Waefeso,Wafilipi,Wakolosai,1 Wathesalonike,2 Wathesalonike,1 Timotheo,2 Timotheo,Tito,Filemoni,Waebrania (Hebrews),Yakobo,1 Petro,2 Petro,1 Yohana,2 Yohana,3 Yohana,Yuda,Ufunuo (Revelation)
Swahili SRB 37,swa,swa,swa,SwahiliSRB37Bible.xml,0.00,Mwanzo (Genesis),Kutoka (Exodus),Mambo ya Walawi (Leviticus),Hesabu (Numbers),Kumbukumbu la Torati (Deuteronomy),Yoshua,Waamuzi (Judges),Ruthu,1 Samweli,2 Samweli,1 Wafalme,2 Wafalme,1 Mambo ya Nyakati,2 Mambo ya Nyakati,Ezra,Nehemia,Esta,Ayubu,Zaburi (Psalms),Methali (Proverbs),Mhubiri (Ecclesiastes),Wimbo Ulio Bora (Song of Songs),Isaya,Yeremia,Maombolezo (Lamentations),Ezekieli,Danieli,Hosea,Yoeli,Amosi,Obadia,Yona,Mika,Nahumu,Habakuki,Sefania,Hagai,Zakaria,Malaki,Mathayo (Matthew),Marko (Mark),Luka,Yohana,Matendo ya Mitume (Acts),Warumi (Romans),1 Wakorintho,2 Wakorintho,Wagalatia,Waefeso,Wafilipi,Wakolosai,1 Wathesalonike,2 Wathesalonike,1 Timotheo,2 Timotheo,Tito,Filemoni,Waebrania (Hebrews),Yakobo,1 Petro,2 Petro,1 Yohana,2 Yohana,3 Yohana,Yuda,Ufunuo (Revelation)
Swahili SUV,swa,swa,swa,SwahiliSUVBible.xml,0.00,Mwanzo (Genesis),Kutoka (Exodus),Mambo ya Walawi (Leviticus),Hesabu (Numbers),Kumbukumbu la Torati (Deuteronomy),Yoshua,Waamuzi (Judges),Ruthu,1 Samweli,2 Samweli,1 Wafalme,2 Wafalme,1 Mambo ya Nyakati,2 Mambo ya Nyakati,Ezra,Nehemia,Esta,Ayubu,Zaburi (Psalms),Methali (Proverbs),Mhubiri (Ecclesiastes),Wimbo Ulio Bora (Song of Songs),Isaya,Yeremia,Maombolezo (Lamentations),Ezekieli,Danieli,Hosea,Yoeli,Amosi,Obadia,Yona,Mika,Nahumu,Habakuki,Sefania,Hagai,Zakaria,Malaki,Mathayo (Matthew),Marko (Mark),Luka,Yohana,Matendo ya Mitume (Acts),Warumi (Romans),1 Wakorintho,2 Wakorintho,Wagalatia,Waefeso,Wafilipi,Wakolosai,1 Wathesalonike,2 Wathesalonike,1 Timotheo,2 Timotheo,Tito,Filemoni,Waebrania (Hebrews),Yakobo,1 Petro,2 Petro,1 Yohana,2 Yohana,3 Yohana,Yuda,Ufunuo (Revelation)
Swahili SWC 02,swa,swa,swa,SwahiliSWC02Bible.xml,0.00,Mwanzo (Genesis),Kutoka (Exodus),Mambo ya Walawi (Leviticus),Hesabu (Numbers),Kumbukumbu la Torati (Deuteronomy),Yoshua,Waamuzi (Judges),Ruthu,1 Samweli,2 Samweli,1 Wafalme,2 Wafalme,1 Mambo ya Nyakati,2 Mambo ya Nyakati,Ezra,Nehemia,Esta,Ayubu,Zaburi (Psalms),Methali (Proverbs),Mhubiri (Ecclesiastes),Wimbo Ulio Bora (Song of Songs),Isaya,Yeremia,Maombolezo (Lamentations),Ezekieli,Danieli,Hosea,Yoeli,Amosi,Obadia,Yona,Mika,Nahumu,Habakuki,Sefania,Hagai,Zakaria,Malaki,Mathayo (Matthew),Marko (Mark),Luka,Yohana,Matendo ya Mitume (Acts),Warumi (Romans),1 Wakorintho,2 Wakorintho,Wagalatia,Waefeso,Wafilipi,Wakolosai,1 Wathesalonike,2 Wathesalonike,1 Timotheo,2 Timotheo,Tito,Filemoni,Waebrania (Hebrews),Yakobo,1 Petro,2 Petro,1 Yohana,2 Yohana,3 Yohana,Yuda,Ufunuo (Revelation)
Swahili SWZZB 1921,swa,swa,swa,SwahiliSWZZB1921Bible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mathayo (Matthew),Marko (Mark),Luka,Yohana,Matendo ya Mitume (Acts),Warumi (Romans),1 Wakorintho,2 Wakorintho,Wagalatia,Waefeso,Wafilipi,Wakolosai,1 Wathesalonike,2 Wathesalonike,1 Timotheo,2 Timotheo,Tito,Filemoni,Waebrania (Hebrews),Yakobo,1 Petro,2 Petro,1 Yohana,2 Yohana,3 Yohana,Yuda,Ufunuo (Revelation)
Swedish  1873,swe,swe,swe,Swedish1873Bible.xml,1,Första Moseboken (Genesis),Andra Moseboken (Exodus),Tredje Moseboken (Leviticus),Fjärde Moseboken (Numeri),Femte Moseboken (Deuteronomium),Josua,Domarboken,Rut,Första Samuelsboken,Andra Samuelsboken,Första Kungaboken,Andra Kungaboken,Första Krönikeboken,Andra Krönikeboken,Esra,Nehemja,Ester,Job,Psaltaren,Ordspråksboken,Predikaren,Höga Visan,Jesaja,Jeremia,Klagovisorna,Hesekiel,Daniel,Hosea,Joel,Amos,Obadja,Jona,Mika,Nahum,Habackuk,Sefanja,Haggai,Sakarja,Malaki,Matteus,Markus,Lukas,Johannes,Apostlagärningarna,Romarbrevet,Första Korinthierbrevet,Andra Korinthierbrevet,Galaterbrevet,Efesierbrevet,Filipperbrevet,Kolosserbrevet,Första Thessalonikerbrevet,Andra Thessalonikerbrevet,Första Timotheosbrevet,Andra Timotheosbrevet,Titusbrevet,Filemonbrevet,Hebreerbrevet,Jakobsbrevet,Första Petrusbrevet,Andra Petrusbrevet,Första Johannesbrevet,Andra Johannesbrevet,Tredje Johannesbrevet,Judasbrevet,Uppenbarelseboken (Revelation)
Swedish  2000,swe,swe,swe,Swedish2000Bible.xml,0.00,Första Moseboken (Genesis),Andra Moseboken (Exodus),Tredje Moseboken (Leviticus),Fjärde Moseboken (Numeri),Femte Moseboken (Deuteronomium),Josua,Domarboken,Rut,Första Samuelsboken,Andra Samuelsboken,Första Kungaboken,Andra Kungaboken,Första Krönikeboken,Andra Krönikeboken,Esra,Nehemja,Ester,Job,Psaltaren,Ordspråksboken,Predikaren,Höga Visan,Jesaja,Jeremia,Klagovisorna,Hesekiel,Daniel,Hosea,Joel,Amos,Obadja,Jona,Mika,Nahum,Habackuk,Sefanja,Haggai,Sakarja,Malaki,Matteus,Markus,Lukas,Johannes,Apostlagärningarna,Romarbrevet,Första Korinthierbrevet,Andra Korinthierbrevet,Galaterbrevet,Efesierbrevet,Filipperbrevet,Kolosserbrevet,Första Thessalonikerbrevet,Andra Thessalonikerbrevet,Första Timotheosbrevet,Andra Timotheosbrevet,Titusbrevet,Filemonbrevet,Hebreerbrevet,Jakobsbrevet,Första Petrusbrevet,Andra Petrusbrevet,Första Johannesbrevet,Andra Johannesbrevet,Tredje Johannesbrevet,Judasbrevet,Uppenbarelseboken (Revelation)
Swedish  2015,swe,swe,swe,Swedish2015Bible.xml,0.00,Första Moseboken (Genesis),Andra Moseboken (Exodus),Tredje Moseboken (Leviticus),Fjärde Moseboken (Numeri),Femte Moseboken (Deuteronomium),Josua,Domarboken,Rut,Första Samuelsboken,Andra Samuelsboken,Första Kungaboken,Andra Kungaboken,Första Krönikeboken,Andra Krönikeboken,Esra,Nehemja,Ester,Job,Psaltaren,Ordspråksboken,Predikaren,Höga Visan,Jesaja,Jeremia,Klagovisorna,Hesekiel,Daniel,Hosea,Joel,Amos,Obadja,Jona,Mika,Nahum,Habackuk,Sefanja,Haggai,Sakarja,Malaki,Matteus,Markus,Lukas,Johannes,Apostlagärningarna,Romarbrevet,Första Korinthierbrevet,Andra Korinthierbrevet,Galaterbrevet,Efesierbrevet,Filipperbrevet,Kolosserbrevet,Första Thessalonikerbrevet,Andra Thessalonikerbrevet,Första Timotheosbrevet,Andra Timotheosbrevet,Titusbrevet,Filemonbrevet,Hebreerbrevet,Jakobsbrevet,Första Petrusbrevet,Andra Petrusbrevet,Första Johannesbrevet,Andra Johannesbrevet,Tredje Johannesbrevet,Judasbrevet,Uppenbarelseboken (Revelation)
Swedish  2019,swe,swe,swe,Swedish2019Bible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matteus,Markus,Lukas,Johannes,Apostlagärningarna,Romarbrevet,Första Korinthierbrevet,Andra Korinthierbrevet,Galaterbrevet,Efesierbrevet,Filipperbrevet,Kolosserbrevet,Första Thessalonikerbrevet,Andra Thessalonikerbrevet,Första Timotheosbrevet,Andra Timotheosbrevet,Titusbrevet,Filemonbrevet,Hebreerbrevet,Jakobsbrevet,Första Petrusbrevet,Andra Petrusbrevet,Första Johannesbrevet,Andra Johannesbrevet,Tredje Johannesbrevet,Judasbrevet,Uppenbarelseboken (Revelation)
Swedish,swe,swe,swe,SwedishBible.xml,0.00,Första Moseboken (Genesis),Andra Moseboken (Exodus),Tredje Moseboken (Leviticus),Fjärde Moseboken (Numeri),Femte Moseboken (Deuteronomium),Josua,Domarboken,Rut,Första Samuelsboken,Andra Samuelsboken,Första Kungaboken,Andra Kungaboken,Första Krönikeboken,Andra Krönikeboken,Esra,Nehemja,Ester,Job,Psaltaren,Ordspråksboken,Predikaren,Höga Visan,Jesaja,Jeremia,Klagovisorna,Hesekiel,Daniel,Hosea,Joel,Amos,Obadja,Jona,Mika,Nahum,Habackuk,Sefanja,Haggai,Sakarja,Malaki,Matteus,Markus,Lukas,Johannes,Apostlagärningarna,Romarbrevet,Första Korinthierbrevet,Andra Korinthierbrevet,Galaterbrevet,Efesierbrevet,Filipperbrevet,Kolosserbrevet,Första Thessalonikerbrevet,Andra Thessalonikerbrevet,Första Timotheosbrevet,Andra Timotheosbrevet,Titusbrevet,Filemonbrevet,Hebreerbrevet,Jakobsbrevet,Första Petrusbrevet,Andra Petrusbrevet,Första Johannesbrevet,Andra Johannesbrevet,Tredje Johannesbrevet,Judasbrevet,Uppenbarelseboken (Revelation)
Swedish Folk,swe,swe,swe,SwedishFolkBible.xml,0.00,Första Moseboken,Andra Moseboken,Tredje Moseboken,Fjärde Moseboken,Femte Moseboken,Josua,Domarboken,Rut,Första Samuelsboken,Andra Samuelsboken,Första Kungaboken,Andra Kungaboken,Första Krönikeboken,Andra Krönikeboken,Esra,Nehemja,Ester,Job,Psaltaren,Ordspråksboken,Predikaren,Höga Visan,Jesaja,Jeremia,Klagovisorna,Hesekiel,Daniel,Hosea,Joel,Amos,Obadja,Jona,Mika,Nahum,Habackuk,Sefanja,Haggai,Sakarja,Malaki,Matteus,Markus,Lukas,Johannes,Apostlagärningarna,Romarbrevet,Första Korinthierbrevet,Andra Korinthierbrevet,Galaterbrevet,Efesierbrevet,Filipperbrevet,Kolosserbrevet,Första Thessalonikerbrevet,Andra Thessalonikerbrevet,Första Timotheosbrevet,Andra Timotheosbrevet,Titusbrevet,Filemonbrevet,Hebreerbrevet,Jakobsbrevet,Första Petrusbrevet,Andra Petrusbrevet,Första Johannesbrevet,Andra Johannesbrevet,Tredje Johannesbrevet,Judasbrevet,Uppenbarelseboken
Swedish NLB,swe,swe,swe,SwedishNLBBible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matteus,Markus,Lukas,Johannes,Apostlagärningarna,Romarbrevet,Första Korinthierbrevet,Andra Korinthierbrevet,Galaterbrevet,Efesierbrevet,Filipperbrevet,Kolosserbrevet,Första Thessalonikerbrevet,Andra Thessalonikerbrevet,Första Timotheosbrevet,Andra Timotheosbrevet,Titusbrevet,Filemonbrevet,Hebreerbrevet,Jakobsbrevet,Första Petrusbrevet,Andra Petrusbrevet,Första Johannesbrevet,Andra Johannesbrevet,Tredje Johannesbrevet,Judasbrevet,Uppenbarelseboken (Revelation)
Swedish SB 2016,swe,swe,swe,SwedishSB2016Bible.xml,0.00,Första Moseboken (Genesis),Andra Moseboken (Exodus),Tredje Moseboken (Leviticus),Fjärde Moseboken (Numeri),Femte Moseboken (Deuteronomium),Josua,Domarboken,Rut,Första Samuelsboken,Andra Samuelsboken,Första Kungaboken,Andra Kungaboken,Första Krönikeboken,Andra Krönikeboken,Esra,Nehemja,Ester,Job,Psaltaren,Ordspråksboken,Predikaren,Höga Visan,Jesaja,Jeremia,Klagovisorna,Hesekiel,Daniel,Hosea,Joel,Amos,Obadja,Jona,Mika,Nahum,Habackuk,Sefanja,Haggai,Sakarja,Malaki,Matteus,Markus,Lukas,Johannes,Apostlagärningarna,Romarbrevet,Första Korinthierbrevet,Andra Korinthierbrevet,Galaterbrevet,Efesierbrevet,Filipperbrevet,Kolosserbrevet,Första Thessalonikerbrevet,Andra Thessalonikerbrevet,Första Timotheosbrevet,Andra Timotheosbrevet,Titusbrevet,Filemonbrevet,Hebreerbrevet,Jakobsbrevet,Första Petrusbrevet,Andra Petrusbrevet,Första Johannesbrevet,Andra Johannesbrevet,Tredje Johannesbrevet,Judasbrevet,Uppenbarelseboken (Revelation)
Swedish SFB,swe,swe,swe,SwedishSFBBible.xml,0.00,Första Moseboken (Genesis),Andra Moseboken (Exodus),Tredje Moseboken (Leviticus),Fjärde Moseboken (Numeri),Femte Moseboken (Deuteronomium),Josua,Domarboken,Rut,Första Samuelsboken,Andra Samuelsboken,Första Kungaboken,Andra Kungaboken,Första Krönikeboken,Andra Krönikeboken,Esra,Nehemja,Ester,Job,Psaltaren,Ordspråksboken,Predikaren,Höga Visan,Jesaja,Jeremia,Klagovisorna,Hesekiel,Daniel,Hosea,Joel,Amos,Obadja,Jona,Mika,Nahum,Habackuk,Sefanja,Haggai,Sakarja,Malaki,Matteus,Markus,Lukas,Johannes,Apostlagärningarna,Romarbrevet,Första Korinthierbrevet,Andra Korinthierbrevet,Galaterbrevet,Efesierbrevet,Filipperbrevet,Kolosserbrevet,Första Thessalonikerbrevet,Andra Thessalonikerbrevet,Första Timotheosbrevet,Andra Timotheosbrevet,Titusbrevet,Filemonbrevet,Hebreerbrevet,Jakobsbrevet,Första Petrusbrevet,Andra Petrusbrevet,Första Johannesbrevet,Andra Johannesbrevet,Tredje Johannesbrevet,Judasbrevet,Uppenbarelseboken (Revelation)
Sylheti,syl,—,—,SylhetiBible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,মথি (Matthew),মার্ক (Mark),লূক (Luke),যোহন (John),প্রেরিত (Acts),রোমীয় (Romans),১ করিন্থীয়,২ করিন্থীয়,গালাতীয়,এফিষীয়,ফিলিপীয়,কলসীয়,১ থিষলনীক,২ থিষলনীক,১ তীমথিয়,২ তীমথিয়,তীত,ফিলেমন,ইব্রীয় (Hebrews),যাকোব,১ পিতর,২ পিতর,১ যোহন,২ যোহন,৩ যোহন,যিহূদা,প্রকাশিত বাক্য (Revelation)
Sylheti SYLL,syl,—,—,SylhetiSYLLBible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,মথি (Matthew),মার্ক (Mark),লূক (Luke),যোহন (John),প্রেরিত (Acts),রোমীয় (Romans),১ করিন্থীয়,২ করিন্থীয়,গালাতীয়,এফিষীয়,ফিলিপীয়,কলসীয়,১ থিষলনীক,২ থিষলনীক,১ তীমথিয়,২ তীমথিয়,তীত,ফিলেমন,ইব্রীয় (Hebrews),যাকোব,১ পিতর,২ পিতর,১ যোহন,২ যোহন,৩ যোহন,যিহূদা,প্রকাশিত বাক্য (Revelation)
